id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite
5,mozilla.org,,_gat_UA-36116321-1,1,.mozilla.org,/,1531343007,1531342947857000,1531342947857000,0,0,0,0
6,mozilla.org,,moz-stub-attribution-code,c291cmNlPXd3dy5tb3ppbGxhLm9yZyZtZWRpdW09KG5vbmUpJmNhbXBhaWduPShub3Qgc2V0KSZjb250ZW50PShub3Qgc2V0KSZ0aW1lc3RhbXA9MTUzMTM0MjY2Mw..,www.mozilla.org,/,1531429349,1531342949417000,1531342947122002,0,0,0,0
7,mozilla.org,,moz-stub-attribution-sig,415fb9f98e184aacb49794e5a9df7363223fbefece16fafa7d532e2a57396638,www.mozilla.org,/,1531429349,1531342949417000,1531342947122003,0,0,0,0
10,mozilla.org,,_ga,GA1.2.979831808.1531342948,.mozilla.org,/,1594414954,1531345683778000,1531342947841000,0,0,0,0
11,mozilla.org,,_gid,GA1.2.2094079339.1531342948,.mozilla.org,/,1531429354,1531345683778000,1531342947841001,0,0,0,0
12,mozilla.org,,_gali,skip-button,.mozilla.org,/,1531343022,1531342992639000,1531342992639000,0,0,0,0
13,google.com,,CONSENT,WP.26f1b2,.google.com,/,2145916800,1531356193169000,1531345324791000,0,0,0,0
19,google.es,,NID,134=1GHDvi1cx7ctgFhYiSPNG7U7hDHkv4VeeLYCukzDHPJ0x63OA33CT6cAHvalgW7vC2SzyMI7Wa75LE19S-5Aq_enAjOwJ_4x5yJ-uNA3qDTqJzkl21YM9voB63NZcAhF,.google.es,/,1547156528,1531356201998000,1531345329066000,0,1,0,0
20,google.es,,CONSENT,WP.26f1b2,.google.es,/,2145916800,1531356201998000,1531345329066001,0,0,0,0
24,stackoverflow.com,,prov,355c525c-07db-8e4a-2fd2-78e0976dde0e,.stackoverflow.com,/,2682374400,1531351388329000,1531345330251001,0,1,0,0
25,imgur.com,,__cfduid,dd6d7d251224cb78d85933dc360335a2a1531345330,.imgur.com,/,1562881330,1531351465566000,1531345330859000,0,1,0,0
26,scorecardresearch.com,,UID,18672a247210100151273761531345331,.scorecardresearch.com,/,1593553331,1531351465784000,1531345331546000,0,0,0,0
27,scorecardresearch.com,,UIDR,1531345331,.scorecardresearch.com,/,1593553331,1531351465784000,1531345331546001,0,0,0,0
31,quantserve.com,,mc,5b4679b4-006f0-eaf82-9c48c,.quantserve.com,/,1565559732,1531351465784000,1531345332217000,0,0,0,0
32,stackoverflow.com,,__qca,P0-1361320761-1531345332041,.stackoverflow.com,/,1565214132,1531351388329000,1531345332310000,0,0,0,0
34,stackoverflow.com,,__gads,ID=86084487f049f2cf:T=1531345332:S=ALNI_MYus6YKjfqIQxdTNoU3xIojfyy8Jw,.stackoverflow.com,/,1594417332,1531351388329000,1531345332591001,0,0,0,0
35,doubleclick.net,,IDE,AHWqTUkHcQEAgBn7NNsFUwZrXyzao-uAqbj9SPXZOLJqGS22gOdxEZc1GFUZA1g6,.doubleclick.net,/,1565041332,1531356202029000,1531345333075000,0,1,0,0
38,google.com,,SNID,AGRGHO5gPmC37bjUi4mtDua9bKcml9valLV_4H0-kndaN56YFT0njTlOEisCH_OaOKtpI3Yq6oLWw0tkL1JL7w,.google.com,/verify,1546897374,1531355674892000,1531345374912000,1,1,0,0
75,smart4ads.com,,S4A_PV[432ada70],f198f3d41531346751,www.smart4ads.com,/,1533938751,1531346750525000,1531346750525000,0,0,0,0
